,id,timepoint,Date,t=-10,t=-30,t=-20,Phase,t=
392,2,20,3/28/13,60.56,,,G1,171.1
393,3,20,3/28/13,47.71,28.78,30.31,G1,121.22
394,4,20,3/28/13,29.19,26.34,26.07,G1,115.12
395,5,20,3/28/13,73.68,64.23,69.06,G1,146.65
396,6,20,3/28/13,55.58,58.61,52.69,G1,137.01
397,7,20,3/28/13,109.23,79.4,89.22,G1,231.57
398,8,20,3/28/13,44.25,41.68,49.38,G1,109.32
399,9,20,3/28/13,44.92,37.75,45.85,G1,109.77
400,10,20,3/28/13,50.81,50.81,50.81,G1,168.01
401,11,20,3/28/13,101.71,101.71,101.71,G1,221.4
402,12,20,3/28/13,85.95,85.95,85.95,G1,224.22
403,13,20,3/28/13,88.74,88.74,88.74,G1,214.4
404,14,20,3/28/13,83.97,83.97,83.97,G1,199.39
405,15,20,3/28/13,85.87,85.87,85.87,G1,216.28
406,16,20,3/28/13,72.97,72.97,72.97,G1,174.92
407,17,20,3/28/13,67.22,67.22,67.22,G1,158.87
408,18,20,3/28/13,68.44,68.44,68.44,G1,188.86
409,19,20,3/28/13,69.06,63.38,63.08,S,93.1
410,20,20,3/28/13,,,,S,
411,21,20,3/28/13,,,,S,
412,22,20,3/28/13,,,,S,
413,23,20,3/28/13,37.94,29.88,33.04,S,47.08
414,24,20,3/28/13,77.61,79.54,83.89,S,103.99
415,25,20,3/28/13,,,,S,
416,26,20,3/28/13,,,,S,
417,27,20,3/28/13,,,,S,
418,28,20,3/28/13,50.56,58.71,57.68,S,128.36
419,29,20,3/28/13,51.69,47.29,54.99,S,73.88
420,30,20,3/28/13,54.19,56.68,58.29,S,79.2
421,31,20,3/28/13,,,,S,
422,32,20,3/28/13,75.47,71.99,77.44,S,84.99
423,33,20,3/28/13,58.24,60.37,56.49,S,81.87
424,34,20,3/28/13,26.78,18.24,22.56,S,64.1
425,35,20,3/28/13,,,,S,
426,36,20,3/28/13,75.97,82.54,80.84,S,143.73
427,37,20,3/28/13,,,,S,
428,38,20,3/28/13,,,,S,
429,39,20,3/28/13,,,,S,
